SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily River Water Discharge (m3/sec)
114,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,01-08-2016 14:00,103.2
115,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,01-08-2016 17:00,147.125
116,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,02-08-2016 08:00,990.317
117,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,02-08-2016 11:00,750.015
118,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,02-08-2016 14:00,324.433
119,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,02-08-2016 17:00,247.282
120,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,03-08-2016 08:00,201.343
121,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,03-08-2016 11:00,201.435
122,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,03-08-2016 14:00,189.189
123,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,03-08-2016 17:00,189.262
124,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,04-08-2016 08:00,103.2
125,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,04-08-2016 11:00,137.016
126,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,04-08-2016 14:00,137.148
127,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,04-08-2016 17:00,119.174
128,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,05-08-2016 08:00,90.459
129,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,05-08-2016 11:00,90.279
130,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,05-08-2016 14:00,97.384
131,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,05-08-2016 17:00,97.284
